stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
1,3578.2880859375,3979.203369140625,3917.183837890625,5245.5693359375,1528.0015869140625,2509.748779296875,3959.90966796875,0.0,19625.1429557
2,9778.2861328125,9216.404296875,9815.5400390625,10725.81640625,10366.9140625,8577.720703125,3602.733642578125,0.0,19625.1429582
3,3845.876953125,3028.43017578125,3425.261474609375,4415.177734375,6239.42919921875,3807.3818359375,-910.29443359375,0.0,19625.1429587
4,-9611.8330078125,-9819.6484375,-10378.85546875,-8826.486328125,-8917.4921875,-8835.0146484375,-7050.88671875,0.0,19625.1429592
5,-8418.3681640625,-7839.06787109375,-8564.681640625,-6842.86083984375,-10292.6669921875,-8151.90966796875,-2499.63037109375,0.0,19625.1429597
6,2826.089111328125,3745.94189453125,3411.9462890625,4627.8720703125,1193.548095703125,2262.4970703125,3751.641845703125,0.0,19625.1429602
7,8390.07421875,7487.3388671875,7867.609375,8591.9775390625,8292.7705078125,6413.29150390625,1784.5970458984375,0.0,19625.1429607
8,6173.208984375,2619.027587890625,2090.534423828125,3253.58642578125,4330.44384765625,1850.33203125,-1795.2457275390625,0.0,19625.1429612
9,-8078.23779296875,-8425.3974609375,-9181.7529296875,-7797.1982421875,-7977.630859375,-8032.82568359375,-5778.60693359375,0.0,19625.1429617
10,-8770.2373046875,-7898.1337890625,-8639.5458984375,-7094.53076171875,-10428.3046875,-8186.4951171875,-2637.287109375,0.0,19625.1748598
11,4279.01611328125,5690.177734375,5637.3037109375,6634.453125,3445.026611328125,4838.9990234375,5986.71337890625,0.0,19625.1748614
12,9863.16796875,10271.5908203125,10865.7353515625,11354.1220703125,11325.7275390625,9834.8984375,4572.3662109375,0.0,19625.1748621
13,3393.77490234375,2997.965087890625,3399.4833984375,4022.052001953125,6182.84912109375,3952.25439453125,-742.56103515625,0.0,19625.1748626
14,-9584.140625,-8991.927734375,-9568.5185546875,-8377.2353515625,-8141.40234375,-7904.19189453125,-6184.947265625,0.0,19625.1748631
15,-8899.0654296875,-7693.6162109375,-8406.0439453125,-6989.25927734375,-10169.7197265625,-7798.94775390625,-2381.793212890625,0.0,19625.1748637
16,3020.23388671875,4132.58642578125,3849.747802734375,4733.552734375,1379.2841796875,2743.550537109375,4111.09619140625,0.0,19625.1748642
17,9401.1328125,7323.88134765625,7197.107421875,7891.22216796875,7126.8076171875,5491.4765625,1102.359375,0.0,19625.1748647
18,4670.01513671875,4435.171875,4558.8525390625,5384.95068359375,7258.47509765625,4865.498046875,340.7679443359375,0.0,19625.1748653
19,-8899.6669921875,-8274.4189453125,-9055.8955078125,-7777.61474609375,-7602.88427734375,-7466.32666015625,-5538.875,0.0,19625.2078808
20,-8592.044921875,-6843.6337890625,-7668.49365234375,-6270.609375,-9288.4873046875,-6869.08935546875,-1542.542724609375,0.0,19625.2078822
21,4155.30517578125,5750.2568359375,5568.27294921875,6499.90966796875,3099.07861328125,4480.408203125,5710.2939453125,0.0,19625.2078828
22,9863.16796875,10176.091796875,10745.5595703125,11259.3388671875,11309.810546875,9655.9560546875,4516.56298828125,0.0,19625.2078834
23,3507.251953125,3517.462646484375,3817.606201171875,4475.244140625,6605.65625,4291.58935546875,-376.16961669921875,0.0,19625.207884
24,-9233.4755859375,-8890.220703125,-9502.669921875,-8272.103515625,-8261.6396484375,-8003.13720703125,-6003.19189453125,0.0,19625.2078846
25,-8766.92578125,-7028.7255859375,-7786.59130859375,-6403.06396484375,-9710.5322265625,-7190.73291015625,-1799.928466796875,0.0,19625.2078851
26,3257.422119140625,2037.8587646484375,1052.4952392578125,2192.54052734375,-2171.46728515625,-811.6280517578125,1424.3173828125,0.0,19625.2078856
27,9663.0029296875,9247.3720703125,9804.2099609375,10298.501953125,9738.984375,7957.18994140625,3218.335205078125,0.0,19625.2078861
28,2499.202880859375,2068.256591796875,2448.128173828125,3191.571533203125,4954.921875,2592.734130859375,-1988.153076171875,0.0,19625.2435077
29,-9671.4306640625,-9046.18359375,-9571.6845703125,-8213.5751953125,-8250.3154296875,-7955.994140625,-6274.93701171875,0.0,19625.2435091
30,-8720.572265625,-7260.759765625,-8016.34130859375,-6607.65966796875,-9850.9775390625,-7391.89013671875,-2073.692626953125,0.0,19625.2435097
31,4295.27001953125,5729.5556640625,5675.7900390625,6546.89697265625,3279.5869140625,4589.095703125,5693.349609375,0.0,19625.2435104
32,9639.2236328125,10133.2353515625,10866.5205078125,11363.9765625,11351.650390625,9662.982421875,4508.63134765625,0.0,19625.243511
33,4411.4560546875,4177.21337890625,4430.68408203125,5125.1884765625,7232.3642578125,4889.33642578125,247.21836853027344,0.0,19625.2435115
34,-9522.7373046875,-8713.0986328125,-9448.2275390625,-8301.990234375,-8010.62451171875,-7824.7431640625,-6104.64208984375,0.0,19625.2435121
35,-8803.0458984375,-7621.32177734375,-8856.5244140625,-7454.7177734375,-10644.3095703125,-8406.9677734375,-2757.10107421875,0.0,19625.2435127
36,3844.3720703125,4587.9423828125,4012.6181640625,4895.712890625,1438.8067626953125,2410.129638671875,4195.69189453125,0.0,19625.2435133
37,9863.16796875,7681.70849609375,7589.14013671875,8259.376953125,7401.142578125,5354.43212890625,1297.379150390625,0.0,19625.2485874
